date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:00:45	145/145	---M--	200	added ('OK')	text/plain	etag:%2291-60f9c34d2b3b9%22	https://oreoswap.finance/robots.txt		(from )
03:00:46	4865/4865	---MC-	200	added ('OK')	text/html	date:Tue,%2028%20Feb%202023%2011:08:59%20GMT	https://oreoswap.finance/	C:/Users/robth/OneDrive/Desktop/oreo/oreoswap.finance/index.html	(from )
03:00:46	2424/2424	---M-Z	200	added ('OK')	text/css	etag:W/%22978-D1e/SCKAPufn1lq/JE9ZZ3c7MNE%22	https://cdn.jsdelivr.net/npm/@xz/fonts@1/serve/plus-jakarta-display.min.css	C:/Users/robth/OneDrive/Desktop/oreo/cdn.jsdelivr.net/npm/@xz/fonts@1/serve/plus-jakarta-display.min.css	(from https://oreoswap.finance/)
03:00:46	14924/14924	---M--	200	added ('OK')	font/woff2	etag:W/%223a4c-r8QhxB6x7JSY35pj+KCDlzdTa5E%22	https://cdn.jsdelivr.net/npm/@xz/fonts@1/serve/src/plus-jakarta-display/PlusJakartaDisplay-Light.woff2	C:/Users/robth/OneDrive/Desktop/oreo/cdn.jsdelivr.net/npm/@xz/fonts@1/serve/src/plus-jakarta-display/PlusJakartaDisplay-Light.woff2	(from https://cdn.jsdelivr.net/npm/@xz/fonts@1/serve/plus-jakarta-display.min.css)
03:00:47	20784/20784	---M--	200	added ('OK')	font/woff	etag:W/%225130-dyASn1ewOXRjCe0Z8ZAWlpE5Isg%22	https://cdn.jsdelivr.net/npm/@xz/fonts@1/serve/src/plus-jakarta-display/PlusJakartaDisplay-Light.woff	C:/Users/robth/OneDrive/Desktop/oreo/cdn.jsdelivr.net/npm/@xz/fonts@1/serve/src/plus-jakarta-display/PlusJakartaDisplay-Light.woff	(from https://cdn.jsdelivr.net/npm/@xz/fonts@1/serve/plus-jakarta-display.min.css)
03:00:47	15884/15884	---M--	200	added ('OK')	font/woff2	etag:W/%223e0c-nBQ8AODjXX02/zCKxefCsJZsnP0%22	https://cdn.jsdelivr.net/npm/@xz/fonts@1/serve/src/plus-jakarta-display/PlusJakartaDisplay-LightItalic.woff2	C:/Users/robth/OneDrive/Desktop/oreo/cdn.jsdelivr.net/npm/@xz/fonts@1/serve/src/plus-jakarta-display/PlusJakartaDisplay-LightItalic.woff2	(from https://cdn.jsdelivr.net/npm/@xz/fonts@1/serve/plus-jakarta-display.min.css)
03:00:47	22208/22208	---M--	200	added ('OK')	font/woff	etag:W/%2256c0-U7TuSCW1vK0EfYUr84+Ow8qjjsk%22	https://cdn.jsdelivr.net/npm/@xz/fonts@1/serve/src/plus-jakarta-display/PlusJakartaDisplay-LightItalic.woff	C:/Users/robth/OneDrive/Desktop/oreo/cdn.jsdelivr.net/npm/@xz/fonts@1/serve/src/plus-jakarta-display/PlusJakartaDisplay-LightItalic.woff	(from https://cdn.jsdelivr.net/npm/@xz/fonts@1/serve/plus-jakarta-display.min.css)
03:00:47	15152/15152	---M--	200	added ('OK')	font/woff2	etag:W/%223b30-vVXRn9bg8YXx7I/ltu/S8q6OVLY%22	https://cdn.jsdelivr.net/npm/@xz/fonts@1/serve/src/plus-jakarta-display/PlusJakartaDisplay-Regular.woff2	C:/Users/robth/OneDrive/Desktop/oreo/cdn.jsdelivr.net/npm/@xz/fonts@1/serve/src/plus-jakarta-display/PlusJakartaDisplay-Regular.woff2	(from https://cdn.jsdelivr.net/npm/@xz/fonts@1/serve/plus-jakarta-display.min.css)
03:00:48	21148/21148	---M--	200	added ('OK')	font/woff	etag:W/%22529c-cKHrXNUrXeY5RvRWxM6l0Mmee68%22	https://cdn.jsdelivr.net/npm/@xz/fonts@1/serve/src/plus-jakarta-display/PlusJakartaDisplay-Regular.woff	C:/Users/robth/OneDrive/Desktop/oreo/cdn.jsdelivr.net/npm/@xz/fonts@1/serve/src/plus-jakarta-display/PlusJakartaDisplay-Regular.woff	(from https://cdn.jsdelivr.net/npm/@xz/fonts@1/serve/plus-jakarta-display.min.css)
03:00:48	16052/16052	---M--	200	added ('OK')	font/woff2	etag:W/%223eb4-Iiuv1YzW7NVkJHLatxjw1REJZ7w%22	https://cdn.jsdelivr.net/npm/@xz/fonts@1/serve/src/plus-jakarta-display/PlusJakartaDisplay-Italic.woff2	C:/Users/robth/OneDrive/Desktop/oreo/cdn.jsdelivr.net/npm/@xz/fonts@1/serve/src/plus-jakarta-display/PlusJakartaDisplay-Italic.woff2	(from https://cdn.jsdelivr.net/npm/@xz/fonts@1/serve/plus-jakarta-display.min.css)
